id,first_name,last_name,gender,birth_date,death_date,birth_country,current_country,father_id,mother_id,spouse_ids,children_ids,generation,education,employment,alcohol_consumption,tobacco_use
P00003,Lina,Schulz,F,1961-12-10,,germany,germany,P00010,P00011,P00002,P00001,-1,tertiary,employed,11.3,true
P00004,Elias,Schneider,M,1924-11-17,1973-10-02,germany,germany,P00006,P00007,P00005,P00002,-2,tertiary,employed,9.6,true
P00008,Elias,Schmidt,M,1901-02-11,1972-05-27,germany,germany,,,P00009,P00005,-3,tertiary,retired,7.9,false
P00013,Sophia,Müller,F,1899-03-28,1954-04-15,germany,germany,,,P00012,P00010,-3,none,employed,10.0,false
P00002,Henry,Schneider,M,1955-06-11,,germany,germany,P00004,P00005,P00003,P00001,-1,tertiary,retired,8.2,false
P00012,Noah,Schulz,M,1889-04-15,1953-02-26,germany,germany,,,P00013,P00010,-3,primary,employed,12.9,false
P00014,Noah,Müller,M,1911-04-09,1971-03-14,germany,germany,,,P00015,P00011,-3,secondary,employed,9.6,false
P00015,Hannah,Schmidt,F,1916-04-28,1929-07-17,germany,germany,,,P00014,P00011,-3,tertiary,child,12.1,false
P00019,Mia,Becker,F,2064-07-15,,germany,germany,P00018,P00017,P00020,P00021,2,secondary,child,10.2,false
P00020,Matteo,Müller,M,2065-05-09,,germany,germany,,,P00019,P00021,2,tertiary,child,10.3,false
P00021,Emma,Müller,F,2100-09-20,,germany,germany,P00020,P00019,,,3,secondary,child,11.3,false
P00005,Mia,Schmidt,F,1926-07-18,1984-05-01,germany,germany,P00008,P00009,P00004,P00002,-2,secondary,employed,13.8,false
P00006,Matteo,Schneider,M,1888-03-16,1959-03-04,germany,germany,,,P00007,P00004,-3,secondary,retired,12.7,false
P00007,Emilia,Müller,F,1900-03-04,1950-12-24,germany,germany,,,P00006,P00004,-3,tertiary,employed,10.3,false
P00010,Matteo,Schulz,M,1926-07-09,1980-11-19,germany,germany,P00012,P00013,P00011,P00003,-2,tertiary,employed,12.2,false
P00011,Mia,Müller,F,1938-10-16,2006-04-17,germany,germany,P00014,P00015,P00010,P00003,-2,secondary,retired,9.7,false
P00016,Emil,Becker,M,1994-06-12,,germany,germany,,,P00001,P00017,0,tertiary,employed,11.6,false
P00017,Emilia,Becker,F,2027-04-17,,germany,germany,P00016,P00001,P00018,P00019,1,secondary,child,9.9,true
P00018,Paul,Becker,M,2022-05-15,,germany,germany,,,P00017,P00019,1,secondary,child,9.3,false
P00001,Sophia,Schneider,F,1990-03-16,,germany,germany,P00002,P00003,P00016,P00017,0,tertiary,employed,10.6,false
P00009,Sophia,Fischer,F,1900-01-15,1971-06-01,germany,germany,,,P00008,P00005,-3,tertiary,retired,11.7,false
